Archer,Round,Experience,Bowstyle,EventName,EventType,Date,Score,Hits,Golds,Xs,Handicap,Classification,HandicapAtScore,HandicapAllowance,HandicapAdjustedScore
Patrick Huston,WA 1440 Gents,Experienced,Recurve,Pod,Practice Session,2014-08-07,1235,,,,25,MB*,,129,1364
Patrick Huston,WA 1440 Gents,Experienced,Recurve,City of Belfast,Record Status Competition,2014-07-18,1262,,,,22,GMB*,,129,1391
Patrick Huston,WA 1440 Gents,Experienced,Recurve,Pod,Practice Session,2014-07-16,1284,,,,20,GMB*,,129,1413
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-07-15,644,,,,19,1st,,785,1429
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-07-15,620,,,,24,1st,,785,1405
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-07-14,634,,,,21,1st,,785,1419
Patrick Huston,WA 720 70m,Experienced,Recurve,Moscow,Record Status Competition,2014-07-08,639,,,,20,1st,,785,1424
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,Moscow,Practice Session,2014-07-07,329,,,,16,1st,,,
Patrick Huston,WA 720 70m,Experienced,Recurve,Germany,Competition (Non Record Status),2014-07-04,604,,,,27,1st,,785,1389
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-06-30,648,,,,18,1st,,785,1433
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-06-30,633,,,,22,1st,,785,1418
Patrick Huston,WA 1440 Gents,Experienced,Recurve,Pod,Practice Session,2014-06-29,1319,,,,15,GMB*,,129,1448
Patrick Huston,WA 1440 Gents,Experienced,Recurve,Pod,Practice Session,2014-06-29,1281,,,,20,GMB*,,129,1410
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-06-27,649,,,,18,1st,,785,1434
Patrick Huston,WA 720 70m,Experienced,Recurve,pod,Practice Session,2014-06-27,640,,,,20,1st,,785,1425
Patrick Huston,WA 720 70m,Experienced,Recurve,Pod,Practice Session,2014-06-26,636,,,,21,1st,,785,1421
Patrick Huston,WA 1440 Gents,Experienced,Recurve,N.S. Penicuik,Record Status Competition,2014-06-22,1197,,,,28,MB*,,129,1326
Patrick Huston,WA 720 70m,Experienced,Recurve,N.S. Penicuik,Record Status Competition,2014-06-21,610,,,,26,1st,,785,1395
Patrick Huston,WA 1440 Gents,Experienced,Recurve,City of Belfast,Record Status Competition,2014-06-07,1278,,,,20,GMB*,,129,1407
Patrick Huston,WA 720 70m,Experienced,Recurve,Selection Shoot,Record Status Competition,2014-05-31,644,,,,19,1st,,785,1429
Patrick Huston,WA 720 70m,Experienced,Recurve,Pod,Practice Session,2014-05-30,653,,,,17,1st,,785,1438
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,City of Belfast,Practice Session,2014-05-29,328,,,,16,1st,,,
Patrick Huston,WA 720 70m,Experienced,Recurve,City of Belfast,Practice Session,2014-05-27,664,,,,14,1st,,785,1449
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,City of Belfast,Practice Session,2014-05-20,334,,,,13,1st,,,
Patrick Huston,WA 720 70m,Experienced,Recurve,City of Belfast,Practice Session,2014-05-15,653,,,,17,1st,,789,1442
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,City of Belfast,Practice Session,2014-05-13,326,,,,17,1st,,,
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,City of Belfast,Practice Session,2014-05-09,323,,,,19,1st,,,
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,City of Belfast,Practice Session,2014-05-08,334,,,,13,1st,,,
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,City of Belfast,Practice Session,2014-05-08,316,,,,22,1st,,,
Patrick Huston,WA 18m,Experienced,Recurve,NIAS Indoors ,Record Status Competition,2014-03-22,571,,,,17,B,8,853,1424
Patrick Huston,WA 18m,Experienced,Recurve,Nimes,Record Status Competition,2014-01-24,588,,,,8,A,8,853,1441
Patrick Huston,WA 18m,Experienced,Recurve,sutherland,Practice Session,2014-01-22,588,,,,8,A,8,853,1441
Patrick Huston,Portsmouth,Experienced,Recurve,British Junior Indoors,Record Status Competition,2013-12-07,591,,,,15,B,8,843,1434
